centroid
[-122.30950312548049, 37.55248]
[100.30983592747967, 5.397145849999999]
[-69.51193251727493, 11.248595]
[-72.51890030854007, 40.874913]
[-77.10772743201238, 38.880849]
[-99.68322055033974, 31.168839]
[-99.25921365471575, 18.93436675]
[-111.4475944720965, 28.9701015]
[-38.52812992847572, -3.7897624]
[-96.30539995418191, 32.73299315]
[17.08014217830899, 41.0399112]
[-105.25628372353268, 40.024011349999995]
[-57.60872268897312, -25.300369250000003]
[-71.01482117658394, 42.2561325]
[-40.376690006716416, -20.4273964]
[123.989975, 10.282421]
[41.717298093159215, 27.523360349999997]
[121.0540019223246, 14.504109450000001]
[-71.25153506575565, 46.85587575]
[-86.31725261230196, 35.830544]
[-49.284652507738095, -25.4949653]
[-47.77702753056685, -15.7761322]
[-63.907892188466846, 11.022689]
[106.83501237957704, -6.22120845]
[-80.1425916406926, 40.45739695]
[-81.2703379799614, 48.4905545]
[-76.34854201271844, 3.5754679953737]
[104.93453767537312, -3.0008925]
[3.9778769201188835, 50.4458724]
[-98.67108803452297, 29.4770395]
[-54.619594339996205, -25.54121105]
[153.03025743950496, -27.382065033499998]
[-57.392120060226596, -25.545136]
[-157.83300253172587, 21.319947]
[-42.56583585869565, -13.426967999999999]
[-99.16328365533981, 19.38063655]
[121.77401875897431, 17.5999546]
[-86.7244772119403, 32.576626000000005]
[-122.21844375324548, 47.9599015]
[-87.67185082732834, 41.833768]
[-99.65261572390186, 19.284691449999997]
[-115.2307003260606, 36.01864500000001]
[-77.15969026960545, 18.11517405]
[-111.65395600141196, 35.18279975]
[-1.569822249867725, 53.80195785]
[-99.19188816821648, 19.5439285]
[-66.87751615200804, 9.8935525]
[-46.132720120689655, -20.610913]
[-79.2680862848396, 43.331337000000005]
[-70.60209385945836, -33.4540018]
[-49.09045402269058, -21.605733999999998]
[-99.21695114441785, 19.1995735]
[-113.79687387419582, 52.2791323]
